invoice_ID;branch;city;customer;gender;category;unit_price;quantity;tax;total;date;time;payment;cog;gross_margin_percent;gross_income;rating;time_of_day;year;month
123-19-1176;A;Yangon;Member;Male;"Health and beauty";58.22;8;23.2880;489.0480;2019-01-27;20:33:00;Ewallet;465.760;4.761904762;23.28800;8.4;Night;01;2019
123-35-4896;C;Naypyitaw;Normal;Female;"Sports and travel";46.66;9;20.9970;440.9370;2019-02-17;19:11:00;Ewallet;419.940;4.761904762;20.99700;5.3;Night;02;2019
124-31-1458;A;Yangon;Member;Female;"Electronic accessories";79.59;3;11.9385;250.7085;2019-01-08;14:30:00;Cash;238.770;4.761904762;11.93850;6.6;Afternoon;01;2019
125-45-2293;A;Yangon;Normal;Female;"Fashion accessories";99.10;6;29.7300;624.3300;2019-01-19;13:11:00;Cash;594.600;4.761904762;29.73000;4.2;Afternoon;01;2019
126-54-1082;A;Yangon;Member;Female;"Home and lifestyle";21.54;9;9.6930;203.5530;2019-01-07;11:44:00;"Credit card";193.860;4.761904762;9.69300;8.8;Morning;01;2019
127-47-6963;A;Yangon;Normal;Male;"Health and beauty";51.71;4;10.3420;217.1820;2019-03-09;13:53:00;"Credit card";206.840;4.761904762;10.34200;9.8;Afternoon;03;2019
129-29-8530;A;Yangon;Member;Male;"Sports and travel";62.62;5;15.6550;328.7550;2019-03-10;19:15:00;Ewallet;313.100;4.761904762;15.65500;7.0;Night;03;2019
130-67-4723;A;Yangon;Member;Male;"Food and beverages";48.50;6;14.5500;305.5500;2019-01-11;13:57:00;Ewallet;291.000;4.761904762;14.55000;9.4;Afternoon;01;2019
130-98-8941;C;Naypyitaw;Normal;Male;"Fashion accessories";64.26;7;22.4910;472.3110;2019-02-09;10:00:00;Cash;449.820;4.761904762;22.49100;5.7;Morning;02;2019
131-15-8856;C;Naypyitaw;Member;Female;"Food and beverages";72.52;8;29.0080;609.1680;2019-03-30;19:26:00;"Credit card";580.160;4.761904762;29.00800;4.0;Night;03;2019
131-70-8179;A;Yangon;Member;Female;"Health and beauty";92.09;3;13.8135;290.0835;2019-02-17;16:27:00;Cash;276.270;4.761904762;13.81350;4.2;Evening;02;2019
132-23-6451;A;Yangon;Member;Male;"Health and beauty";20.97;5;5.2425;110.0925;2019-01-04;13:21:00;Cash;104.850;4.761904762;5.24250;7.8;Afternoon;01;2019
132-32-9879;B;Mandalay;Member;Female;"Electronic accessories";93.96;4;18.7920;394.6320;2019-03-09;18:00:00;Cash;375.840;4.761904762;18.79200;9.5;Night;03;2019
133-14-7229;C;Naypyitaw;Normal;Male;"Health and beauty";62.87;2;6.2870;132.0270;2019-01-01;11:43:00;Cash;125.740;4.761904762;6.28700;5.0;Morning;01;2019
133-77-3154;B;Mandalay;Member;Male;"Fashion accessories";60.18;4;12.0360;252.7560;2019-02-16;18:04:00;"Credit card";240.720;4.761904762;12.03600;9.4;Night;02;2019
134-54-4720;B;Mandalay;Normal;Female;"Electronic accessories";42.42;8;16.9680;356.3280;2019-01-30;13:58:00;Ewallet;339.360;4.761904762;16.96800;5.7;Afternoon;01;2019
134-75-2619;A;Yangon;Member;Male;"Electronic accessories";19.32;7;6.7620;142.0020;2019-03-25;18:51:00;Cash;135.240;4.761904762;6.76200;6.9;Night;03;2019
135-13-8269;B;Mandalay;Member;Female;"Food and beverages";78.88;2;7.8880;165.6480;2019-01-26;16:04:00;Cash;157.760;4.761904762;7.88800;9.1;Evening;01;2019
135-84-8019;A;Yangon;Normal;Female;"Fashion accessories";77.93;9;35.0685;736.4385;2019-02-27;16:10:00;Ewallet;701.370;4.761904762;35.06850;7.6;Evening;02;2019
136-08-6195;A;Yangon;Normal;Female;"Home and lifestyle";69.96;8;27.9840;587.6640;2019-02-15;17:01:00;"Credit card";559.680;4.761904762;27.98400;6.4;Evening;02;2019
137-63-5492;C;Naypyitaw;Normal;Male;"Electronic accessories";58.76;10;29.3800;616.9800;2019-01-29;14:26:00;Ewallet;587.600;4.761904762;29.38000;9.0;Afternoon;01;2019
137-74-8729;C;Naypyitaw;Normal;Female;"Fashion accessories";12.19;8;4.8760;102.3960;2019-03-13;12:47:00;Ewallet;97.520;4.761904762;4.87600;6.8;Afternoon;03;2019
138-17-5109;A;Yangon;Member;Female;"Home and lifestyle";89.21;9;40.1445;843.0345;2019-01-15;15:42:00;"Credit card";802.890;4.761904762;40.14450;6.5;Evening;01;2019
139-20-0155;B;Mandalay;Member;Male;"Electronic accessories";40.30;10;20.1500;423.1500;2019-01-24;17:37:00;"Credit card";403.000;4.761904762;20.15000;7.0;Evening;01;2019
139-32-4183;A;Yangon;Member;Female;"Sports and travel";97.48;9;43.8660;921.1860;2019-03-14;14:19:00;Ewallet;877.320;4.761904762;43.86600;7.4;Afternoon;03;2019
139-52-2867;C;Naypyitaw;Normal;Female;"Fashion accessories";22.51;7;7.8785;165.4485;2019-02-13;10:50:00;"Credit card";157.570;4.761904762;7.87850;4.8;Morning;02;2019
142-63-6033;B;Mandalay;Normal;Male;"Home and lifestyle";92.36;5;23.0900;484.8900;2019-03-20;19:17:00;Ewallet;461.800;4.761904762;23.09000;4.9;Night;03;2019
142-72-4741;C;Naypyitaw;Member;Male;"Fashion accessories";93.20;2;9.3200;195.7200;2019-02-28;18:37:00;"Credit card";186.400;4.761904762;9.32000;6.0;Night;02;2019
144-51-6085;A;Yangon;Member;Male;"Home and lifestyle";70.74;4;14.1480;297.1080;2019-01-05;16:05:00;"Credit card";282.960;4.761904762;14.14800;4.4;Evening;01;2019
145-94-9061;B;Mandalay;Normal;Female;"Food and beverages";88.36;5;22.0900;463.8900;2019-01-25;19:48:00;Cash;441.800;4.761904762;22.09000;9.6;Night;01;2019
146-09-5432;A;Yangon;Member;Male;"Food and beverages";35.04;9;15.7680;331.1280;2019-02-09;19:17:00;Ewallet;315.360;4.761904762;15.76800;4.6;Night;02;2019
148-41-7930;C;Naypyitaw;Normal;Male;"Health and beauty";99.96;7;34.9860;734.7060;2019-01-23;10:33:00;Cash;699.720;4.761904762;34.98600;6.1;Morning;01;2019
148-82-2527;C;Naypyitaw;Member;Female;"Home and lifestyle";12.12;10;6.0600;127.2600;2019-03-05;13:44:00;"Credit card";121.200;4.761904762;6.06000;8.4;Afternoon;03;2019
149-14-0304;C;Naypyitaw;Member;Female;"Health and beauty";28.50;8;11.4000;239.4000;2019-02-06;14:24:00;Cash;228.000;4.761904762;11.40000;6.6;Afternoon;02;2019
149-15-7606;B;Mandalay;Member;Male;"Sports and travel";37.32;9;16.7940;352.6740;2019-03-06;15:31:00;Ewallet;335.880;4.761904762;16.79400;5.1;Evening;03;2019
149-61-1929;A;Yangon;Normal;Male;"Sports and travel";64.19;10;32.0950;673.9950;2019-01-19;14:08:00;"Credit card";641.900;4.761904762;32.09500;6.7;Afternoon;01;2019
149-71-6266;B;Mandalay;Member;Male;"Sports and travel";78.07;9;35.1315;737.7615;2019-01-28;12:43:00;Cash;702.630;4.761904762;35.13150;4.5;Afternoon;01;2019
150-89-8043;A;Yangon;Normal;Male;"Sports and travel";44.65;3;6.6975;140.6475;2019-02-14;15:04:00;Cash;133.950;4.761904762;6.69750;6.2;Evening;02;2019
151-16-1484;A;Yangon;Member;Male;"Electronic accessories";32.25;4;6.4500;135.4500;2019-02-13;12:38:00;Ewallet;129.000;4.761904762;6.45000;6.5;Afternoon;02;2019
151-27-8496;C;Naypyitaw;Normal;Female;"Electronic accessories";56.13;4;11.2260;235.7460;2019-01-19;11:43:00;Ewallet;224.520;4.761904762;11.22600;8.6;Morning;01;2019
151-33-7434;B;Mandalay;Normal;Female;"Food and beverages";67.77;1;3.3885;71.1585;2019-02-04;20:43:00;"Credit card";67.770;4.761904762;3.38850;6.5;Night;02;2019
152-03-4217;B;Mandalay;Normal;Female;"Home and lifestyle";11.28;9;5.0760;106.5960;2019-03-17;11:55:00;"Credit card";101.520;4.761904762;5.07600;4.3;Morning;03;2019
152-08-9985;B;Mandalay;Member;Male;"Health and beauty";64.36;9;28.9620;608.2020;2019-03-12;12:09:00;"Credit card";579.240;4.761904762;28.96200;8.6;Afternoon;03;2019
152-68-2907;A;Yangon;Normal;Male;"Food and beverages";52.20;3;7.8300;164.4300;2019-02-15;13:30:00;"Credit card";156.600;4.761904762;7.83000;9.5;Afternoon;02;2019
153-58-4872;C;Naypyitaw;Member;Female;"Food and beverages";74.89;4;14.9780;314.5380;2019-03-01;15:32:00;Ewallet;299.560;4.761904762;14.97800;4.2;Evening;03;2019
154-74-7179;B;Mandalay;Normal;Male;"Sports and travel";54.45;1;2.7225;57.1725;2019-02-26;19:24:00;Ewallet;54.450;4.761904762;2.72250;7.9;Night;02;2019
154-87-7367;C;Naypyitaw;Normal;Male;"Home and lifestyle";65.26;8;26.1040;548.1840;2019-03-15;14:04:00;Ewallet;522.080;4.761904762;26.10400;6.3;Afternoon;03;2019
155-45-3814;C;Naypyitaw;Member;Female;"Electronic accessories";88.55;8;35.4200;743.8200;2019-03-19;15:29:00;Ewallet;708.400;4.761904762;35.42000;4.7;Evening;03;2019
156-20-0370;B;Mandalay;Normal;Female;"Electronic accessories";25.45;1;1.2725;26.7225;2019-03-10;18:10:00;"Credit card";25.450;4.761904762;1.27250;5.1;Night;03;2019
156-95-3964;A;Yangon;Normal;Female;"Food and beverages";55.39;4;11.0780;232.6380;2019-03-25;15:19:00;Ewallet;221.560;4.761904762;11.07800;8.0;Evening;03;2019
157-13-5295;A;Yangon;Member;Male;"Health and beauty";51.94;10;25.9700;545.3700;2019-03-09;18:24:00;Ewallet;519.400;4.761904762;25.97000;6.5;Night;03;2019
160-22-2687;A;Yangon;Member;Female;"Health and beauty";95.95;5;23.9875;503.7375;2019-01-23;14:21:00;Ewallet;479.750;4.761904762;23.98750;8.8;Afternoon;01;2019
162-48-8011;A;Yangon;Member;Female;"Food and beverages";44.59;5;11.1475;234.0975;2019-02-10;15:10:00;Cash;222.950;4.761904762;11.14750;8.5;Evening;02;2019
162-65-8559;C;Naypyitaw;Member;Male;"Food and beverages";68.98;1;3.4490;72.4290;2019-01-21;20:13:00;Cash;68.980;4.761904762;3.44900;4.8;Night;01;2019
163-56-7055;C;Naypyitaw;Member;Male;"Fashion accessories";48.71;1;2.4355;51.1455;2019-03-26;19:20:00;Cash;48.710;4.761904762;2.43550;4.1;Night;03;2019
166-19-2553;A;Yangon;Member;Male;"Sports and travel";89.06;6;26.7180;561.0780;2019-01-18;17:26:00;Cash;534.360;4.761904762;26.71800;9.9;Evening;01;2019
169-52-4504;A;Yangon;Normal;Female;"Electronic accessories";15.69;3;2.3535;49.4235;2019-03-14;14:13:00;"Credit card";47.070;4.761904762;2.35350;5.8;Afternoon;03;2019
172-42-8274;B;Mandalay;Normal;Female;"Electronic accessories";38.27;2;3.8270;80.3670;2019-03-02;18:18:00;"Credit card";76.540;4.761904762;3.82700;5.8;Night;03;2019
173-50-1108;B;Mandalay;Member;Female;"Sports and travel";20.18;4;4.0360;84.7560;2019-02-13;12:14:00;"Credit card";80.720;4.761904762;4.03600;5.0;Afternoon;02;2019
173-57-2300;C;Naypyitaw;Member;Male;"Sports and travel";72.88;2;7.2880;153.0480;2019-03-13;12:51:00;Cash;145.760;4.761904762;7.28800;6.1;Afternoon;03;2019
173-82-9529;B;Mandalay;Normal;Female;"Fashion accessories";37.95;10;18.9750;398.4750;2019-01-26;14:51:00;Cash;379.500;4.761904762;18.97500;9.7;Afternoon;01;2019
174-36-3675;C;Naypyitaw;Member;Male;"Food and beverages";99.37;2;9.9370;208.6770;2019-02-14;17:29:00;Cash;198.740;4.761904762;9.93700;5.2;Evening;02;2019
174-64-0215;B;Mandalay;Normal;Male;"Sports and travel";69.74;10;34.8700;732.2700;2019-03-05;17:49:00;"Credit card";697.400;4.761904762;34.87000;8.9;Evening;03;2019
174-75-0888;B;Mandalay;Normal;Male;"Electronic accessories";21.58;9;9.7110;203.9310;2019-03-14;12:32:00;Cash;194.220;4.761904762;9.71100;7.3;Afternoon;03;2019
175-54-2529;A;Yangon;Member;Male;"Food and beverages";22.17;8;8.8680;186.2280;2019-03-03;17:01:00;"Credit card";177.360;4.761904762;8.86800;9.6;Evening;03;2019
176-64-7711;B;Mandalay;Normal;Male;"Food and beverages";32.32;3;4.8480;101.8080;2019-03-27;19:11:00;"Credit card";96.960;4.761904762;4.84800;4.3;Night;03;2019
176-78-1170;C;Naypyitaw;Member;Male;"Health and beauty";33.81;3;5.0715;106.5015;2019-01-26;15:11:00;Ewallet;101.430;4.761904762;5.07150;7.3;Evening;01;2019
181-82-6255;B;Mandalay;Normal;Female;"Home and lifestyle";16.37;6;4.9110;103.1310;2019-02-08;10:58:00;Cash;98.220;4.761904762;4.91100;7.0;Morning;02;2019
181-94-6432;C;Naypyitaw;Member;Male;"Fashion accessories";69.33;2;6.9330;145.5930;2019-02-05;19:05:00;Ewallet;138.660;4.761904762;6.93300;9.7;Night;02;2019
182-52-7000;A;Yangon;Member;Female;"Sports and travel";27.04;4;5.4080;113.5680;2019-01-01;20:26:00;Ewallet;108.160;4.761904762;5.40800;6.9;Night;01;2019
182-69-8360;B;Mandalay;Normal;Female;"Electronic accessories";23.65;4;4.7300;99.3300;2019-01-30;13:32:00;"Credit card";94.600;4.761904762;4.73000;4.0;Afternoon;01;2019
182-88-2763;B;Mandalay;Member;Male;"Food and beverages";79.91;3;11.9865;251.7165;2019-03-20;19:28:00;"Credit card";239.730;4.761904762;11.98650;5.0;Night;03;2019
183-21-3799;C;Naypyitaw;Normal;Female;"Electronic accessories";77.63;9;34.9335;733.6035;2019-02-19;15:14:00;Ewallet;698.670;4.761904762;34.93350;7.2;Evening;02;2019
183-56-6882;C;Naypyitaw;Member;Female;"Food and beverages";99.42;4;19.8840;417.5640;2019-02-06;10:42:00;Ewallet;397.680;4.761904762;19.88400;7.5;Morning;02;2019
186-09-3669;C;Naypyitaw;Member;Female;"Health and beauty";81.51;1;4.0755;85.5855;2019-01-22;10:57:00;Ewallet;81.510;4.761904762;4.07550;9.2;Morning;01;2019
186-43-8965;A;Yangon;Member;Female;"Home and lifestyle";47.68;2;4.7680;100.1280;2019-02-24;10:10:00;"Credit card";95.360;4.761904762;4.76800;4.1;Morning;02;2019
186-71-5196;A;Yangon;Member;Female;"Food and beverages";79.54;2;7.9540;167.0340;2019-03-27;16:30:00;Ewallet;159.080;4.761904762;7.95400;6.2;Evening;03;2019
186-79-9562;B;Mandalay;Normal;Male;"Health and beauty";71.77;7;25.1195;527.5095;2019-03-29;14:06:00;Cash;502.390;4.761904762;25.11950;8.9;Afternoon;03;2019
187-83-5490;A;Yangon;Member;Male;"Electronic accessories";20.77;4;4.1540;87.2340;2019-01-31;13:47:00;Cash;83.080;4.761904762;4.15400;4.7;Afternoon;01;2019
188-55-0967;B;Mandalay;Member;Male;"Health and beauty";66.47;10;33.2350;697.9350;2019-01-15;15:01:00;"Credit card";664.700;4.761904762;33.23500;5.0;Evening;01;2019
189-08-9157;C;Naypyitaw;Normal;Female;"Fashion accessories";31.73;9;14.2785;299.8485;2019-01-08;16:17:00;"Credit card";285.570;4.761904762;14.27850;5.9;Evening;01;2019
189-17-4241;A;Yangon;Normal;Female;"Fashion accessories";87.67;2;8.7670;184.1070;2019-03-10;12:17:00;"Credit card";175.340;4.761904762;8.76700;7.7;Afternoon;03;2019
